y,x,이디야 매장수,스타벅스 매장수,커피빈 매장수,빽다방 매장수,커피지수
3.0,11.0,15.0,5.0,0.0,2.0,0.29411764705882354
0.0,10.0,1.0,2.0,0.0,0.0,2.0
4.0,11.0,1.0,1.0,1.0,1.0,1.0
5.0,11.0,1.0,1.0,0.0,2.0,0.3333333333333333
1.0,10.0,8.0,4.0,0.0,0.0,0.5
0.0,9.0,1.0,0.0,0.0,0.0,0.0
2.0,10.0,2.0,0.0,0.0,0.0,0.0
7.0,10.0,0.0,0.0,0.0,0.0,0.0
5.0,10.0,11.0,10.0,1.0,5.0,0.6875
1.0,8.0,3.0,1.0,0.0,0.0,0.3333333333333333
3.0,10.0,2.0,0.0,0.0,0.0,0.0
0.0,7.0,2.0,0.0,0.0,0.0,0.0
1.0,9.0,27.0,10.0,1.0,4.0,0.3548387096774194
4.0,10.0,1.0,1.0,0.0,0.0,1.0
6.0,10.0,2.0,2.0,0.0,0.0,1.0
2.0,8.0,3.0,2.0,0.0,1.0,0.5
0.0,8.0,1.0,0.0,0.0,0.0,0.0
2.0,9.0,1.0,0.0,0.0,0.0,0.0
3.0,7.0,8.0,0.0,0.0,0.0,0.0
7.0,7.0,1.0,4.0,0.0,1.0,2.0
4.0,4.0,10.0,11.0,0.0,2.0,0.9166666666666666
7.0,9.0,15.0,5.0,0.0,3.0,0.2777777777777778
3.0,8.0,13.0,3.0,1.0,3.0,0.25
9.0,5.0,10.0,4.0,2.0,7.0,0.35294117647058826
10.0,5.0,14.0,8.0,1.0,2.0,0.5625
9.0,8.0,21.0,13.0,2.0,7.0,0.5357142857142857
4.0,2.0,22.0,14.0,2.0,8.0,0.5333333333333333
2.0,7.0,46.0,12.0,1.0,3.0,0.2653061224489796
8.0,3.0,24.0,4.0,0.0,4.0,0.14285714285714285
3.0,4.0,22.0,20.0,1.0,4.0,0.8076923076923077
1.0,4.0,3.0,4.0,0.0,0.0,1.3333333333333333
5.0,3.0,14.0,14.0,2.0,4.0,0.8888888888888888
4.0,3.0,10.0,4.0,1.0,4.0,0.35714285714285715
5.0,2.0,33.0,7.0,7.0,9.0,0.3333333333333333
8.0,7.0,23.0,48.0,17.0,12.0,1.8571428571428572
7.0,3.0,13.0,1.0,0.0,1.0,0.07142857142857142
8.0,8.0,8.0,3.0,1.0,4.0,0.3333333333333333
8.0,9.0,19.0,10.0,2.0,3.0,0.5454545454545454
6.0,3.0,19.0,9.0,1.0,8.0,0.37037037037037035
10.0,4.0,5.0,5.0,0.0,0.0,1.0
1.0,3.0,15.0,7.0,0.0,0.0,0.4666666666666667
4.0,9.0,5.0,3.0,0.0,1.0,0.5
5.0,9.0,5.0,2.0,1.0,0.0,0.6
1.0,5.0,1.0,0.0,2.0,0.0,2.0
9.0,7.0,20.0,10.0,4.0,4.0,0.5833333333333334
10.0,3.0,8.0,5.0,0.0,2.0,0.5
9.0,6.0,6.0,1.0,0.0,1.0,0.14285714285714285
1.0,7.0,23.0,12.0,0.0,4.0,0.4444444444444444
6.0,9.0,7.0,8.0,3.0,1.0,1.375
2.0,4.0,14.0,16.0,5.0,2.0,1.3125
3.0,3.0,12.0,16.0,5.0,1.0,1.6153846153846154
10.0,6.0,7.0,4.0,2.0,3.0,0.6
7.0,8.0,6.0,2.0,1.0,3.0,0.3333333333333333
9.0,9.0,7.0,5.0,0.0,2.0,0.5555555555555556
2.0,3.0,19.0,7.0,1.0,8.0,0.2962962962962963
11.0,6.0,13.0,13.0,3.0,4.0,0.9411764705882353
11.0,4.0,14.0,10.0,1.0,5.0,0.5789473684210527
1.0,6.0,11.0,5.0,0.0,1.0,0.4166666666666667
3.0,9.0,19.0,10.0,1.0,1.0,0.55
9.0,3.0,26.0,19.0,5.0,11.0,0.6486486486486487
22.0,8.0,7.0,5.0,0.0,0.0,0.7142857142857143
16.0,6.0,1.0,0.0,0.0,1.0,0.0
22.0,7.0,1.0,0.0,0.0,2.0,0.0
20.0,9.0,27.0,12.0,0.0,2.0,0.41379310344827586
22.0,6.0,1.0,0.0,0.0,0.0,0.0
19.0,8.0,7.0,3.0,1.0,1.0,0.5
21.0,7.0,5.0,4.0,0.0,0.0,0.8
17.0,8.0,5.0,3.0,0.0,0.0,0.6
21.0,6.0,4.0,2.0,0.0,0.0,0.5
19.0,5.0,1.0,1.0,0.0,0.0,1.0
20.0,7.0,12.0,7.0,4.0,1.0,0.8461538461538461
19.0,7.0,15.0,6.0,0.0,1.0,0.375
18.0,7.0,0.0,0.0,0.0,0.0,0.0
20.0,6.0,11.0,5.0,1.0,1.0,0.5
18.0,6.0,20.0,7.0,1.0,4.0,0.3333333333333333
20.0,8.0,8.0,2.0,1.0,0.0,0.375
17.0,7.0,4.0,1.0,0.0,0.0,0.25
21.0,8.0,1.0,2.0,1.0,3.0,0.75
20.0,5.0,0.0,0.0,0.0,0.0,0.0
19.0,6.0,1.0,0.0,2.0,0.0,2.0
17.0,6.0,1.0,1.0,0.0,0.0,1.0
16.0,7.0,1.0,0.0,0.0,0.0,0.0
12.0,11.0,9.0,8.0,0.0,3.0,0.6666666666666666
12.0,12.0,25.0,8.0,2.0,2.0,0.37037037037037035
13.0,9.0,1.0,1.0,0.0,0.0,1.0
10.0,10.0,14.0,10.0,1.0,6.0,0.55
11.0,10.0,0.0,0.0,0.0,0.0,0.0
11.0,9.0,3.0,2.0,0.0,0.0,0.6666666666666666
11.0,12.0,4.0,10.0,0.0,1.0,2.0
8.0,10.0,5.0,1.0,0.0,0.0,0.2
8.0,11.0,1.0,0.0,0.0,0.0,0.0
10.0,12.0,10.0,6.0,1.0,2.0,0.5833333333333334
11.0,8.0,2.0,0.0,1.0,0.0,0.5
13.0,11.0,1.0,0.0,0.0,0.0,0.0
9.0,10.0,8.0,5.0,0.0,2.0,0.5
7.0,11.0,2.0,1.0,0.0,0.0,0.5
9.0,11.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,4.0,0.0,0.0,1.0,0.0
12.0,10.0,1.0,0.0,0.0,0.0,0.0
10.0,8.0,0.0,0.0,0.0,0.0,0.0
8.0,13.0,0.0,0.0,0.0,0.0,0.0
6.0,11.0,3.0,0.0,1.0,1.0,0.25
11.0,11.0,0.0,0.0,0.0,0.0,0.0
13.0,10.0,2.0,1.0,0.0,0.0,0.5
10.0,11.0,2.0,0.0,0.0,0.0,0.0
12.0,9.0,6.0,1.0,0.0,0.0,0.16666666666666666
21.0,2.0,17.0,16.0,0.0,2.0,0.8421052631578947
23.0,2.0,7.0,11.0,2.0,1.0,1.625
23.0,3.0,4.0,9.0,1.0,3.0,1.4285714285714286
22.0,3.0,10.0,14.0,0.0,2.0,1.1666666666666667
22.0,2.0,10.0,15.0,1.0,2.0,1.3333333333333333
15.0,9.0,6.0,4.0,0.0,0.0,0.6666666666666666
16.0,8.0,12.0,21.0,0.0,5.0,1.2352941176470589
16.0,9.0,9.0,3.0,0.0,3.0,0.25
15.0,10.0,8.0,8.0,1.0,2.0,0.9
14.0,8.0,11.0,6.0,0.0,2.0,0.46153846153846156
15.0,8.0,1.0,3.0,0.0,0.0,3.0
14.0,10.0,9.0,23.0,2.0,2.0,2.272727272727273
14.0,9.0,7.0,14.0,3.0,3.0,1.7
13.0,5.0,2.0,6.0,0.0,2.0,1.5
14.0,5.0,2.0,6.0,2.0,4.0,1.3333333333333333
16.0,4.0,12.0,25.0,2.0,10.0,1.2272727272727273
15.0,4.0,12.0,11.0,1.0,6.0,0.6666666666666666
15.0,5.0,3.0,5.0,0.0,7.0,0.5
18.0,8.0,7.0,2.0,1.0,0.0,0.42857142857142855
16.0,10.0,10.0,6.0,0.0,3.0,0.46153846153846156
16.0,12.0,5.0,6.0,1.0,0.0,1.4
19.0,11.0,14.0,6.0,0.0,1.0,0.4
18.0,10.0,5.0,6.0,1.0,0.0,1.4
16.0,11.0,12.0,6.0,0.0,1.0,0.46153846153846156
17.0,10.0,18.0,21.0,2.0,3.0,1.0952380952380953
17.0,9.0,12.0,2.0,0.0,3.0,0.13333333333333333
18.0,9.0,3.0,3.0,0.0,0.0,1.0
19.0,10.0,14.0,9.0,0.0,1.0,0.6
19.0,9.0,6.0,3.0,0.0,0.0,0.5
20.0,11.0,6.0,7.0,1.0,0.0,1.3333333333333333
17.0,11.0,8.0,6.0,0.0,0.0,0.75
20.0,10.0,3.0,0.0,0.0,0.0,0.0
18.0,11.0,10.0,9.0,2.0,3.0,0.8461538461538461
17.0,12.0,11.0,29.0,5.0,2.0,2.6153846153846154
8.0,6.0,47.0,87.0,69.0,12.0,2.6440677966101696
5.0,8.0,15.0,14.0,9.0,6.0,1.0952380952380953
3.0,5.0,12.0,5.0,2.0,1.0,0.5384615384615384
6.0,4.0,47.0,19.0,6.0,8.0,0.45454545454545453
7.0,5.0,21.0,12.0,3.0,4.0,0.6
6.0,7.0,16.0,16.0,5.0,4.0,1.05
9.0,4.0,20.0,12.0,2.0,6.0,0.5384615384615384
8.0,5.0,11.0,13.0,2.0,1.0,1.25
2.0,6.0,24.0,10.0,3.0,5.0,0.4482758620689655
2.0,5.0,8.0,2.0,0.0,0.0,0.25
4.0,7.0,19.0,8.0,4.0,3.0,0.5454545454545454
6.0,5.0,10.0,11.0,1.0,4.0,0.8571428571428571
5.0,5.0,28.0,33.0,11.0,5.0,1.3333333333333333
4.0,5.0,14.0,22.0,8.0,4.0,1.6666666666666667
7.0,6.0,21.0,49.0,31.0,7.0,2.857142857142857
5.0,7.0,16.0,9.0,2.0,2.0,0.6111111111111112
3.0,6.0,22.0,15.0,4.0,7.0,0.6551724137931034
6.0,8.0,28.0,34.0,13.0,10.0,1.236842105263158
7.0,4.0,14.0,12.0,4.0,0.0,1.1428571428571428
8.0,4.0,27.0,30.0,13.0,5.0,1.34375
6.0,6.0,11.0,22.0,6.0,4.0,1.8666666666666667
5.0,4.0,17.0,11.0,2.0,6.0,0.5652173913043478
4.0,6.0,15.0,33.0,15.0,5.0,2.4
5.0,6.0,23.0,57.0,15.0,7.0,2.4
4.0,8.0,12.0,7.0,2.0,2.0,0.6428571428571429
13.0,4.0,18.0,9.0,1.0,2.0,0.5
15.0,12.0,30.0,19.0,2.0,5.0,0.6
14.0,12.0,8.0,2.0,0.0,1.0,0.2222222222222222
13.0,12.0,16.0,5.0,0.0,1.0,0.29411764705882354
14.0,11.0,12.0,1.0,0.0,1.0,0.07692307692307693
15.0,11.0,15.0,6.0,2.0,1.0,0.5
5.0,1.0,1.0,1.0,0.0,1.0,0.5
7.0,2.0,12.0,3.0,0.0,6.0,0.16666666666666666
10.0,2.0,35.0,13.0,1.0,13.0,0.2916666666666667
6.0,2.0,2.0,2.0,0.0,0.0,1.0
0.0,0.0,14.0,8.0,0.0,4.0,0.4444444444444444
8.0,2.0,26.0,11.0,2.0,2.0,0.4642857142857143
6.0,1.0,27.0,8.0,0.0,4.0,0.25806451612903225
10.0,1.0,14.0,14.0,7.0,7.0,1.0
10.0,0.0,2.0,0.0,0.0,0.0,0.0
9.0,1.0,14.0,5.0,3.0,4.0,0.4444444444444444
24.0,1.0,1.0,0.0,0.0,0.0,0.0
22.0,5.0,3.0,0.0,0.0,0.0,0.0
21.0,3.0,1.0,0.0,0.0,0.0,0.0
21.0,5.0,9.0,2.0,0.0,1.0,0.2
20.0,4.0,0.0,0.0,0.0,0.0,0.0
22.0,1.0,5.0,1.0,0.0,0.0,0.2
20.0,2.0,1.0,0.0,0.0,0.0,0.0
22.0,0.0,10.0,5.0,0.0,5.0,0.3333333333333333
21.0,1.0,3.0,0.0,0.0,1.0,0.0
24.0,3.0,0.0,0.0,0.0,0.0,0.0
22.0,4.0,17.0,5.0,0.0,1.0,0.2777777777777778
21.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,4.0,18.0,8.0,1.0,2.0,0.45
19.0,1.0,3.0,0.0,0.0,0.0,0.0
23.0,1.0,1.0,0.0,0.0,0.0,0.0
25.0,2.0,1.0,0.0,0.0,0.0,0.0
19.0,2.0,1.0,0.0,0.0,0.0,0.0
24.0,2.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,2.0,0.0,0.0,0.0,0.0
20.0,1.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,3.0,0.0,1.0,0.0,0.3333333333333333
