구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율
강남구,666,5,5,2970,3658,84.38438438438438,100.0,60.0,45.08417508417508,86.35866593767085
강동구,180,15,6,1650,2163,86.11111111111111,93.33333333333333,83.33333333333334,54.96969696969697,86.63892741562644
강북구,176,3,6,1229,2424,82.38636363636364,66.66666666666666,100.0,54.027664768104145,91.006600660066
강서구,306,3,8,2050,2557,83.98692810457517,100.0,100.0,52.53658536585366,85.8818928431756
관악구,408,10,13,2223,2674,82.1078431372549,100.0,76.92307692307693,48.80791722896986,88.59386686611818
광진구,273,6,4,1875,1853,78.02197802197803,83.33333333333334,100.0,53.76,85.53696708041014
구로구,226,3,10,1916,2552,73.00884955752213,100.0,90.0,50.36534446764092,84.1692789968652
금천구,153,10,6,1157,1779,82.35294117647058,60.0,100.0,53.15471045808125,89.3760539629005
노원구,184,3,4,1498,2464,85.86956521739131,100.0,100.0,45.460614152202936,85.95779220779221
도봉구,90,5,1,790,1224,92.22222222222223,100.0,100.0,49.87341772151899,82.84313725490196
동대문구,168,10,6,1531,1977,85.11904761904762,90.0,100.0,54.01698236446767,92.71623672230652
동작구,251,1,4,1328,1816,43.82470119521912,100.0,50.0,43.59939759036144,82.76431718061674
마포구,495,2,2,2190,2153,84.24242424242424,100.0,100.0,41.87214611872146,85.09057129586624
서대문구,175,5,2,1226,1535,88.0,100.0,50.0,48.939641109298535,82.08469055374593
서초구,616,7,5,2270,2644,66.88311688311688,71.42857142857143,100.0,49.25110132158591,83.58547655068078
성동구,133,9,6,970,1394,72.18045112781954,100.0,83.33333333333334,52.680412371134025,87.2309899569584
성북구,176,3,3,1082,1613,73.86363636363636,100.0,100.0,67.56007393715342,90.26658400495971
송파구,273,10,7,2416,2992,84.24908424908425,100.0,100.0,42.05298013245033,84.72593582887701
양천구,127,2,6,1477,1602,88.18897637795276,100.0,100.0,42.924847664184156,85.51810237203496
영등포구,356,3,10,2409,3042,67.13483146067416,100.0,100.0,44.333748443337484,81.09796186719264
용산구,272,3,3,999,2036,87.13235294117648,100.0,100.0,54.454454454454456,89.53831041257368
은평구,194,1,3,1565,2117,83.50515463917526,100.0,100.0,62.42811501597444,87.71846953235712
종로구,238,7,4,1515,2082,100.0,100.0,100.0,70.56105610561056,90.87415946205572
중구,195,6,2,2202,1922,58.97435897435898,83.33333333333334,50.0,47.68392370572207,84.96357960457857
중랑구,138,4,10,1666,2450,78.26086956521739,100.0,100.0,54.50180072028812,86.0
