구별,발생합계,검거합계,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거
종로구,3846,4117,4,5,7,8,238,1143,1515,1069,2082,1892
중구,4327,2804,2,1,6,5,195,115,2202,1050,1922,1633
용산구,3313,2611,3,3,3,4,272,237,999,544,2036,1823
성동구,2512,1838,6,5,9,10,133,96,970,511,1394,1216
광진구,4011,2816,4,5,6,5,273,213,1875,1008,1853,1585
동대문구,3692,2818,6,6,10,9,168,143,1531,827,1977,1833
중랑구,4268,3138,10,10,4,5,138,108,1666,908,2450,2107
성북구,2877,2323,3,3,3,3,176,130,1082,731,1613,1456
강북구,3838,3023,6,6,3,2,176,145,1229,664,2424,2206
도봉구,2110,1497,1,1,5,5,90,83,790,394,1224,1014
노원구,4153,2964,4,4,3,3,184,158,1498,681,2464,2118
은평구,3880,3000,3,3,1,1,194,162,1565,977,2117,1857
서대문구,2943,2020,2,1,5,5,175,154,1226,600,1535,1260
마포구,4842,3170,2,2,2,2,495,417,2190,917,2153,1832
양천구,3214,2124,6,6,2,2,127,112,1477,634,1602,1370
강서구,4924,3543,8,9,3,4,306,257,2050,1077,2557,2196
구로구,4707,3291,10,9,3,4,226,165,1916,965,2552,2148
금천구,3105,2343,6,6,10,6,153,126,1157,615,1779,1590
영등포구,5820,3787,10,10,3,3,356,239,2409,1068,3042,2467
동작구,3400,2195,4,2,1,1,251,110,1328,579,1816,1503
관악구,5328,3810,13,10,10,11,408,335,2223,1085,2674,2369
서초구,5542,3750,5,5,7,5,616,412,2270,1118,2644,2210
강남구,7304,5069,5,3,5,6,666,562,2970,1339,3658,3159
송파구,5698,3799,7,8,10,10,273,230,2416,1016,2992,2535
강동구,4014,2955,6,5,15,14,180,155,1650,907,2163,1874
