구별,소계,2015년 이전,2016년,2017년,2018년
강남구,5221,3431.0,765,577,448
강동구,1879,1027.0,194,273,385
강북구,1265,691.0,254,1,319
강서구,1617,909.0,190,264,254
관악구,3985,2001.0,619,694,671
광진구,1581,746.0,21,468,346
구로구,3227,1875.0,326,540,486
금천구,1634,769.0,136,199,530
노원구,1906,1342.0,298,110,156
도봉구,858,515.0,155,117,71
동대문구,2003,1437.0,233,136,197
동작구,1780,993.0,254,278,255
마포구,1935,1009.0,359,372,195
서대문구,2121,1235.0,277,415,194
서초구,2835,1840.0,352,247,396
성동구,2679,1251.0,201,933,294
성북구,3003,1687.0,388,285,643
송파구,1586,974.0,100,116,396
양천구,2775,1459.0,349,137,830
영등포구,2495,1042.0,289,371,793
용산구,2063,1841.0,89,60,73
은평구,2962,2070.0,296,229,367
종로구,1471,941.0,148,281,101
중구,1544,629.0,270,317,328
중랑구,1068,872.0,121,66,9
