구별,발생합계,검거합계,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거,lat,lng,검거
종로구,3846,4117,4,5,7,8,238,1143,1515,1069,2082,1892,37.5755578,126.9848674,3.4687092642863946
중구,4327,2804,2,1,6,5,195,115,2202,1050,1922,1633,37.5636465,126.9895796,1.8588583087695458
용산구,3313,2611,3,3,3,4,272,237,999,544,2036,1823,37.5387099,126.9659183,1.7764180602504207
성동구,2512,1838,6,5,9,10,133,96,970,511,1394,1216,37.5617309,127.0363806,2.064835236742753
광진구,4011,2816,4,5,6,5,273,213,1875,1008,1853,1585,37.542873,127.083821,2.2980362179370073
동대문구,3692,2818,6,6,10,9,168,143,1531,827,1977,1833,37.58506149999999,127.0457679,2.565838511120472
중랑구,4268,3138,10,10,4,5,138,108,1666,908,2450,2107,37.6185992,127.1045876,2.7967322671643613
성북구,2877,2323,3,3,3,3,176,130,1082,731,1613,1456,37.5897482,127.0161353,1.6348566454640574
강북구,3838,3023,6,6,3,2,176,145,1229,664,2424,2206,37.63730390000001,127.0273399,2.063930996399632
도봉구,2110,1497,1,1,5,5,90,83,790,394,1224,1014,37.6533589,127.052682,1.1449958743539765
노원구,4153,2964,4,4,3,3,184,158,1498,681,2464,2118,37.6425238,127.0717076,1.9315722712073655
은평구,3880,3000,3,3,1,1,194,162,1565,977,2117,1857,37.6283597,126.9287226,1.8306541011889736
서대문구,2943,2020,2,1,5,5,175,154,1226,600,1535,1260,37.5647848,126.9667762,1.4388320080851233
마포구,4842,3170,2,2,2,2,495,417,2190,917,2153,1832,37.550814,126.954028,1.9724563293029855
양천구,3214,2124,6,6,2,2,127,112,1477,634,1602,1370,37.5165667,126.8656763,1.74801411655203
강서구,4924,3543,8,9,3,4,306,257,2050,1077,2557,2196,37.5397827,126.8299968,2.9100494657485716
구로구,4707,3291,10,9,3,4,226,165,1916,965,2552,2148,37.494931,126.886731,2.7307203343005906
금천구,3105,2343,6,6,10,6,153,126,1157,615,1779,1590,37.4568722,126.8970429,2.101429469270868
영등포구,5820,3787,10,10,3,3,356,239,2409,1068,3042,2467,37.5153176,126.905728,3.0019380702602336
동작구,3400,2195,4,2,1,1,251,110,1328,579,1816,1503,37.5130866,126.9428498,1.275862265411994
관악구,5328,3810,13,10,10,11,408,335,2223,1085,2674,2369,37.4743789,126.9509748,3.6390297093564765
서초구,5542,3750,5,5,7,5,616,412,2270,1118,2644,2210,37.4956054,127.0052504,2.7521377339519004
강남구,7304,5069,5,3,5,6,666,562,2970,1339,3658,3159,37.5094352,127.0669578,3.220259967504062
송파구,5698,3799,7,8,10,10,273,230,2416,1016,2992,2535,37.5019065,127.1271513,3.276754902359469
강동구,4014,2955,6,5,15,14,180,155,1650,907,2163,1874,37.528511,127.1268224,2.906204925847495
